,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
0,No.1,肖申克的救赎,10,2882225,美国,"剧情,犯罪","1994-09-10(多伦多电影节),1994-10-14(美国)",142,https://movie.douban.com/subject/1292052/
1,No.10,盗梦空间,9,2050297,"美国,英国","剧情,科幻,悬疑,冒险","2010-09-01(中国大陆),2020-08-28(中国大陆重映),2010-07-16(美国)",148,https://movie.douban.com/subject/3541415/
2,No.100,唐伯虎点秋香,9,1073107,中国香港,"喜剧,爱情,古装",1993-07-01(中国香港),102,https://movie.douban.com/subject/1306249/
3,No.101,7号房的礼物,9,554433,韩国,"剧情,喜剧,家庭",2013-01-23(韩国),127,https://movie.douban.com/subject/10777687/
4,No.102,被嫌弃的松子的一生,9,700627,日本,"剧情,歌舞",2006-05-27(日本),130,https://movie.douban.com/subject/1787291/
5,No.103,请以你的名字呼唤我,9,717638,"意大利,法国,巴西,美国","剧情,爱情,同性","2017-01-22(圣丹斯电影节),2017-11-24(美国),2018-01-25(意大利)",132,https://movie.douban.com/subject/26799731/
6,No.104,断背山,9,703880,"美国,加拿大","剧情,爱情,同性,家庭","2005-09-02(威尼斯电影节),2006-01-06(加拿大),2006-01-13(美国)",134,https://movie.douban.com/subject/1418834/
7,No.105,剪刀手爱德华,9,1029338,美国,"剧情,爱情,奇幻",1990-12-06(美国),105,https://movie.douban.com/subject/1292370/
8,No.106,爱在黎明破晓前,9,678447,"美国,奥地利,瑞士","剧情,爱情",1995-01-27(美国),101,https://movie.douban.com/subject/1296339/
9,No.107,入殓师,9,662630,日本,剧情,"2021-10-29(中国大陆),2008-08-23(蒙特利尔电影节),2008-09-13(日本)",130,https://movie.douban.com/subject/2149806/
10,No.108,勇敢的心,9,556754,美国,"剧情,动作,传记,历史,战争","1995-05-18(西雅图电影节),1995-05-24(美国)",178,https://movie.douban.com/subject/1294639/
